Close,High,Low,Open,Volume,Sentiment
1060.223388671875,1068.055467214395,1052.707019431764,1053.128102239537,3255070,0.5607143640518188
1062.3497314453125,1080.077358053641,1058.1810529391034,1077.971944,2467386,0
1059.191406,1072.497661,1044.4745861151123,1072.497661,1863774,0.8200275301933289
1052.390869140625,1061.1283345941283,1046.3904410580988,1061.1283345941283,1309050,0
1076.729492,1082.1403429672505,1059.822960829153,1061.1283582642466,1897814,0
1076.076904296875,1086.3934310647378,1072.981905145156,1076.7085283847034,1579578,0.8245863914489746
1098.541992,1104.605544,1090.1413074096308,1096.9207821558416,1961740,0
1101.2369384765625,1108.774280472953,1091.446762080585,1098.1840877724403,1620690,0
1098.8153076171875,1104.4999240773643,1087.340804021645,1096.4572033716086,2763608,0
1094.773438,1107.448074454489,1090.8152991917696,1101.5529136018797,3935820,0
1088.694824,1100.743545067066,1084.1686422648977,1098.6185575283264,2578914,0
1092.795654296875,1110.5180221884734,1086.611922399686,1107.3305422166352,1847336,0
1064.9583740234375,1100.2968619612998,1052.633450947024,1093.050636,2571456,0
1067.5931396484375,1070.695640463726,1060.1344168262235,1062.4931724208177,1267396,0
1083.743652,1093.518595,1081.257375402357,1088.8436224724264,1930992,0
1101.9332275390625,1103.4419889897829,1083.8282976486732,1083.8282976486732,1290102,0.8634009957313538
1084.146973,1100.211893288834,1079.4932724108694,1098.618153221298,1549952,0.7328463792800903
1095.536621,1106.2465306499769,1092.6891603747786,1104.9928095601786,1445880,0
1072.0557861328125,1104.2493345171774,1065.319536815408,1102.8680931673532,3934122,0
1066.552246,1070.3984933161962,1052.038522625932,1052.038522625932,2280308,0.7925073504447937
1081.9366455078125,1083.721613034944,1062.4930231835535,1062.918020392827,2003660,0
1079.578125,1087.5043869319743,1073.798223952486,1081.0656155559134,1456608,0
1089.863037109375,1092.2856047322016,1080.8956563143263,1082.3831468677288,1070526,0.8436397910118103
1076.723388671875,1094.1644081691622,1073.7420142626947,1090.757123130099,1320628,0
1059.921387,1080.8974882406703,1057.5362452574268,1072.2301640900412,1496780,0
1066.9703369140625,1071.804465805498,1061.4122844833246,1063.712161076587,1574972,0
1065.6500244140625,1072.8691909085878,1061.433445553972,1064.5639311933369,1891188,0
1068.5675048828125,1074.572888420461,1058.8141897000658,1069.2063710471527,2342692,0.8411101698875427
1137.9058837890625,1146.296305901771,1108.2199212978408,1108.6884647790205,3479784,0.5337840914726257
1122.5303955078125,1143.1444338699991,1088.6278587823092,1137.1816834697831,1406426,0.8921785354614258
1097.465576171875,1123.9785215940926,1069.8665374901543,1089.501065572388,3216158,0
1094.9532470703125,1111.201708808625,1089.3524554855976,1111.201708808625,2744152,0
1080.7056884765625,1112.137916602974,1077.5539911230337,1088.6276685021635,2987602,0
1103.875488,1116.0777895171095,1085.2205768775905,1090.2037117913196,3765950,0
1109.7535400390625,1113.7570611132985,1097.2530128845642,1105.707386,2265074,0
1080.642578,1089.863508772317,1080.1101894275298,1086.7756543269898,1379900,0
1086.2218017578125,1092.4613542545571,1082.2608099693498,1088.202245660972,1756816,0
1076.191650390625,1095.6131244543567,1060.5181089478967,1089.2670938290144,2081246,0
1102.3634033203125,1121.848818447099,1094.5266877911258,1100.276482418702,3325952,0
1102.27832,1125.980211591148,1094.9952050071197,1125.980211591148,3368336,0.5015552639961243
1106.7506103515625,1112.4790902303257,1093.5686909325882,1108.5607313827566,6179712,0
1051.041504,1066.2678168490718,1049.8702490644946,1060.518020353181,3215710,0
1052.8516845703125,1061.3699020830172,1051.999862819042,1056.6422497706071,2333828,0.7501599192619324
1076.1702880859375,1077.554498409982,1062.903206111416,1063.1800065833663,2695084,0
1077.554688,1082.6656188241109,1074.253877686512,1079.6842422183795,1929688,0.8855944871902466
1082.953857421875,1087.5850993912145,1078.749558397236,1087.5850993912145,2335398,0
1082.697998046875,1088.0121203587123,1073.5423264673918,1088.0121203587123,1414630,0
1079.5181884765625,1081.4176005371305,1071.386887457522,1071.386887457522,1255342,0.9255281686782837
1065.1119384765625,1082.206744189948,1062.8496726379346,1081.4171551596248,3130316,0.9231720566749573
1049.233642578125,1057.2795947830589,1045.754948412795,1055.5508769857834,1361920,0
1023.3030395507812,1040.654094923303,1018.6719022631032,1040.654094923303,2743232,0
1020.3793334960938,1023.7513177355166,1013.7419704896794,1016.0895834739712,1985028,0
1003.6898803710938,1019.6749694829712,1001.3636302048924,1019.6749694829712,1520352,0
1010.7333374023438,1021.1908923663336,1009.6876027476916,1015.8981307211144,998640,0.8194260001182556
1001.1713256835938,1016.900265986495,997.8846892179612,1014.9794922354394,2915292,0.699631929
1008.1506958007812,1015.044206147833,1006.0805897850872,1008.5775346751976,1721994,0
1009.5588989257812,1015.0651808256664,1001.5770358677804,1015.0224552710768,1640296,0.8767510056495667
1003.391357421875,1012.8885211792448,1001.7907118447902,1007.3396165120174,2283358,0.785762608
993.8512573242188,1001.9185718470378,990.7354179619208,998.8026282760655,1246092,0.8782233595848083
990.1804809570312,1000.4672315574334,988.2383439,995.4732393879816,1382604,0
994.1070556640624,1002.6438272884856,989.1130651055024,990.0093636008842,1139964,0.8989952206611633
1010.6046752929688,1012.8029572730878,990.2658515,997.9062231019568,5282806,0.7494012117385864
1017.8184204101562,1020.6568565766456,1003.9247974607042,1011.181056626024,1723988,0.34868234395980835
1018.4371337890624,1020.9768032013296,1008.7265534061198,1017.1566176946084,1652378,0.2821032603581746
1015.2147827148438,1018.8642755111792,994.7906074590778,996.7540035293144,2718532,0.8192272782325745
